타임스탬프,0. 성별을 선택해주세요,2. 광고를 보고나서 직접 그 제품을 사용/구매해본 적이 있나요?,3. 광고를 주로 보게되는 환경은 무엇인가요?,4. 어떤 활동/행동을 하다 광고를 접하게 되었나요?
2022. 5. 28 오후 3:44:38,남,예,스마트폰,"동영상 시청 (유튜브, 트위치 등)"
2022. 5. 28 오후 3:50:18,여,예,스마트폰,"SNS 탐색 (인스타그램, 페이스북 등)"
2022. 5. 28 오후 4:26:52,남,예,"TV (프로그램 시작 전 CF제외, 홈쇼핑과 프로그램 속 간접광고만 포함)","동영상 시청 (유튜브, 트위치 등)"
2022. 5. 28 오후 4:49:41,여,아니오,스마트폰,"SNS 탐색 (인스타그램, 페이스북 등)"
2022. 5. 28 오후 6:23:56,남,예,스마트폰,"SNS 탐색 (인스타그램, 페이스북 등)"
2022. 5. 28 오후 7:45:26,여,예,스마트폰,게임 (보상 획득 및 상/하단 배너 광고)
2022. 5. 29 오후 12:59:17,남,아니오,스마트폰,"SNS 탐색 (인스타그램, 페이스북 등)"
2022. 5. 29 오후 1:01:55,여,예,스마트폰,"동영상 시청 (유튜브, 트위치 등)"
2022. 5. 29 오후 1:07:26,남,예,스마트폰,게임 (보상 획득 및 상/하단 배너 광고)
2022. 5. 29 오후 1:14:37,남,아니오,스마트폰,"SNS 탐색 (인스타그램, 페이스북 등)"
2022. 5. 29 오후 1:17:23,남,예,스마트폰,"동영상 시청 (유튜브, 트위치 등)"
2022. 5. 29 오후 1:47:07,남,아니오,스마트폰,"동영상 시청 (유튜브, 트위치 등)"
2022. 5. 29 오후 3:03:47,여,예,스마트폰,"동영상 시청 (유튜브, 트위치 등)"
2022. 5. 29 오후 5:13:39,남,예,스마트폰,"동영상 시청 (유튜브, 트위치 등)"
2022. 5. 29 오후 5:52:38,여,예,"TV (프로그램 시작 전 CF제외, 홈쇼핑과 프로그램 속 간접광고만 포함)","SNS 탐색 (인스타그램, 페이스북 등)"
2022. 5. 29 오후 8:17:08,여,예,태블릿,"동영상 시청 (유튜브, 트위치 등)"
2022. 5. 30 오전 8:26:02,남,예,스마트폰,"동영상 시청 (유튜브, 트위치 등)"
2022. 5. 30 오전 8:26:49,남,예,컴퓨터,"동영상 시청 (유튜브, 트위치 등)"
